"Reference","Qty (used)","Value","Footprint","Datasheet", "Ext.price", "buy link"
"C1,C2,C3,C4,C8,C9,C12,C15,C16,C18","10","0.1uF","Capacitor_SMD:C_0805_2012Metric", "","$0.25", "https://www.lcsc.com/product-detail/C1711.html"
"C5,C10,C11,C14,C20","5","22uF","Capacitor_SMD:C_0805_2012Metric", "", "$0.33", "https://www.lcsc.com/product-detail/C602037.html"
"C6,C7","2","4.7uF","Capacitor_SMD:C_0805_2012Metric","", "$0.28", "https://www.lcsc.com/product-detail/C98192.html"
"C13","1","10pF","Capacitor_SMD:C_0805_2012Metric","","$0.34", "https://www.lcsc.com/product-detail/C15850.html"
"C17,C19","2","10uF","Capacitor_SMD:C_0805_2012Metric","","$0.59","https://www.lcsc.com/product-detail/C15850.html"
"D1","1","LED","LED_SMD:LED_0805_2012Metric","", "1.08€", "https://fr.aliexpress.com/item/1005006781648580.html"
"D2","1","LED","LED_SMD:LED_Cree-XP-G","", "0.90€", "https://www.digikey.fr/fr/products/detail/cree-led/XPEBTT-01-0000-00V80/5303634"
"J1","1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip", "8.99€", https://www.amazon.fr/dp/B0CJF7KPV8?
"J3,J4","2","Conn_Coaxial","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal","", "0,99€",  "https://fr.aliexpress.com/item/1005009943868026.html"
"J5","1","Conn_01x02_Pin","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","", "0,11 $", "https://www.digikey.fr/en/products/detail/jst-sales-america-inc/S2B-PH-K-S/926626"
"J6","1","Conn_01x30","Connector_FFC-FPC:Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal","", "2,11 $", "https://www.digikey.fr/en/products/detail/hirose-electric-co-ltd/FH12-30S-0-5SH-55/1000799"
"L1","1","1uH","Inductor_SMD:L_Coilcraft_XxL4020","","1.63€","https://fr.aliexpress.com/item/1005007108638684.html"
"Q2","1","2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF", "$0.30", "https://www.lcsc.com/product-detail/C916396.html"
"R1","1","1.5k","Resistor_SMD:R_0805_2012Metric","", "$0.13", "https://www.lcsc.com/product-detail/C114555.html"
"R2","1","2K","Resistor_SMD:R_0805_2012Metric","", "$0.10", "https://www.lcsc.com/product-detail/C2907248.html"
"R3,R4","2","5.1k","Resistor_SMD:R_0805_2012Metric","","$0.12", "https://www.lcsc.com/product-detail/C27834.html"
"R5,R6","2","22R","Resistor_SMD:R_0805_2012Metric","","$0.10", "https://www.lcsc.com/product-detail/C2907244.html"
"R7,R8,R9,R10,R11,R15,R16","7","10k","Resistor_SMD:R_0805_2012Metric","", "$0.10", "https://www.lcsc.com/product-detail/C2907219.html"
"R12,R13,R14,R17","4","4.7k","Resistor_SMD:R_0805_2012Metric","","$0.09", "https://www.lcsc.com/product-detail/C2907326.html"
